run_id,cycle_id,cycle_start_time,cycle_end_time,cycle_time_sec,avg_vfd1_temp,avg_vfd2_temp,avg_vfd3_temp,avg_vfd4_temp,avg_r01_load,min_r01_load,max_r01_load,avg_r02_load,min_r02_load,max_r02_load,avg_r03_load,min_r03_load,max_r03_load,avg_r04_load,min_r04_load,max_r04_load,stopper1_active_count,stopper2_active_count,stopper3_active_count,stopper4_active_count,stopper5_active_count,defect_label,defect_flag
3,7,"2023-12-11 14:57:32.259","2023-12-11 15:02:27.442",295,88.20288444745455,3.941754149012586e33,1.2631223557959354e34,-1.127637822548392e33,484.60853369454793,183,626,1313.3924822214697,1254,1382,1877.8411784625805,1217,9151,575.7653233999323,290,896,169,645,14,15,56,NULL,0
3,8,"2023-12-11 15:02:27.544","2023-12-11 15:07:22.859",295,88.4892348671343,5.416384580068551e33,4.5091401453334526e33,-4.090757515483796e32,484.6350710900474,197,633,1313.536222071767,1234,1364,1854.1184834123223,1309,9239,581.190250507786,302,866,169,644,15,15,56,NULL,0
3,9,"2023-12-11 15:07:22.934","2023-12-11 15:12:18.144",295,88.74411987715914,-1.8026469898207695e34,1.6908488647916615e32,-5.6185369304303634e32,479.65774313791934,174,734,1312.6360555743815,1232,1363,1891.4971196204676,1317,9717,579.099966113182,332,807,169,644,15,14,56,NULL,0
3,10,"2023-12-11 15:12:18.244","2023-12-11 15:17:13.244",295,88.91697553743407,-8.995586440540448e32,-1.3767536429913158e33,7.082344669260754e31,480.1558793629278,201,689,1312.3578447983734,1239,1374,1883.826838359878,1309,9155,576.739071501186,332,824,168,644,15,15,55,NULL,0
3,11,"2023-12-11 15:17:13.346","2023-12-11 15:22:08.244",294,89.06921701530285,-2.16192895148277e34,-2.1597467484225293e31,-2.216575313664664e34,480.99864360800274,205,638,1312.4920311970159,1237,1364,1886.334011529332,1311,9767,578.5045778229909,304,834,169,644,15,15,56,NULL,0
3,12,"2023-12-11 15:22:08.340","2023-12-11 15:27:03.878",295,89.20991201703232,3.66901016954195e33,-1.3466465805615697e33,9.04268108574619e33,481.8562246278755,165,629,1314.0541271989175,1263,1377,1900.257104194858,1313,9962,579.8971583220568,317,878,169,643,15,16,55,NULL,0
3,13,"2023-12-11 15:27:03.940","2023-12-11 15:31:59.141",295,89.32453297309084,3.138498081516182e33,-2.1409668133986115e33,-6.745632267123243e32,477.6583135794108,184,611,1313.0067727734506,1245,1367,1919.577040298002,1314,10049,580.6020995597697,313,842,168,642,15,15,56,NULL,0
3,14,"2023-12-11 15:31:59.250","2023-12-11 15:36:54.336",295,89.41791089842033,4.828061978150409e33,-5.826449483695127e34,-1.271583531665718e31,468.4359756097561,187,703,1312.5257452574526,1231,1384,1864.580623306233,1316,9482,573.314024390244,302,827,168,644,15,15,56,NULL,0
3,15,"2023-12-11 15:36:54.456","2023-12-11 15:41:55.143",300,89.3668082954594,-9.294978126223573e30,1.757048891204729e32,-2.8334282761774526e34,470.8254073827735,71,695,1311.7219820419023,1254,1385,1808.5620219487862,1311,9763,566.8337213169272,215,851,203,647,15,16,55,NoNose,1
4,1,"2023-12-11 16:50:34.948","2023-12-11 16:55:30.049",295,75.82868736383996,-8.757480115189256e33,4.336081884383469e34,-1.978317628858401e32,446.4583333333333,123,603,1311.7269647696478,1207,1377,1819.39972899729,1300,9837,602.6314363143631,319,864,168,647,14,15,56,NoNose,1
4,2,"2023-12-11 16:55:30.161","2023-12-11 17:00:24.860",294,79.36440861811242,-8.684029850762355e34,2.8900950065492445e34,5.664650949803168e32,449.3354816824966,187,633,1311.4572591587516,1255,1359,1812.9246947082768,1298,9385,604.5284938941655,331,918,169,647,15,15,56,NoNose,1
